kn_individu_national,dc_sexe_id,annee_naissance0,dc_nationalite,dc_lblnationalite,kn_idcartevisite,dc_titre,dc_accroche,dc_etatcartevisite_id,dc_rome_id,dc_appellationrome_id,dn_dureecontratmin,dn_dureecontratmax,dn_remuneration,dc_unitesalaire_id,dd_datemodifemploirech,dc_domainemetier_id,dc_qualificationmetier_id,dc_lblqualificationmetier,dn_dureeexperience,dc_uniteduree_experience_id,dc_uniteduree_travail_id,dn_mobilitehabitation,dc_unitemobilite_hab_id,kd_datemodification_cv,libre_1,libre_2,libre_3,libre_4,libre_5,libre_6,libre_7,libre_8,libre_9,libre_10,savoir_1,savoir_2,savoir_3,savoir_4,savoir_5,savoiretre_1,savoiretre_2,savoiretre_3,savoirfaire_1,savoirfaire_2,savoirfaire_3,savoirfaire_4,savoirfaire_5,langue_1,langue_2,langue_3,permis_1,permis_2,permis_3,kc_nationalite,kc_qualificationmetier
58796a2a50f7255cdb18dfc88ccc6772f8d16881c7994e5e93c46d02e749cfa0,F,1984,1,FRANCAISE,15af58693cf75f8a2006c451c3106ef58c8725e8f0ed6c0165522e583cf57473,Auxiliaire de Vie Sociale -AVS-,DIPLOME d'ETAT d' AUXILIAIRE DE VIE SOCIALE,3,K2104,11454,,,10.25,H,2021-08-17T10:28:12.000Z,,5,Employé non qualifié,3,AN,,10,KM,2021-08-18T01:59:27.072Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
04ce05de398223c63287ecc7dd1d111c5f356d6ab44acdbd1aa542c4c2c142f7,M,1970,1,FRANCAISE,3adaf1a2c547925ac811287ce8299e2419e139efc71d7e0a9478598d26fb55d8,Directeur administratif et financier spécialiste en contrôle de gestion des PME industrielles,Grâce à ma formation initiale j ai une double compétence en finance et en contrôle de gestion Mes 25 ans d expérience au sein d organisations multi-sites à taille humaine ont démontré ma capacité à accompagner les équipes pour les faire évoluer et ma faculté à mettre en place des outils de gestion afin de piloter au mieux les entreprises industrielles,3,M1205,14377,0,0,80000.0,A,2021-05-27T12:19:47.423Z,,9,Cadre,20,AN,MO,100,KM,2021-05-27T12:19:47.440Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9
dcc4fb3779a56def22b904ce3c33dacdf2502e18685164a5f40b296778d02d66,F,1967,1,FRANCAISE,de87106ea79333efd173214aff323abd974e2270501ed0c9589a4ec7124a8272,Gestionnaire de commandes et de stock deux années d expériences,Autonome organisée rapide et rigoureuse CACES 1et 3,3,N1103,17993,,,,M,2021-06-07T11:02:48.000Z,,5,Employé non qualifié,2,AN,,30,KM,2021-06-07T09:50:30.315Z,GERER OPTIMISER RECEPTIONNER LES STOCKS,METTRE EN RAYON DELOTER FACING CONTROLER LES DLC EN GMS,CONTROLER LA CONFORMITE DES LIVRAISONS MERCHANDISING,,,,,,,,Gestion administrative,,,,,,,,Préparer les commandes,,,,,,,,,,,1,5
0aff72b546c36ca45d9238d422c9743c2b69e799cca845dbeed0ffb8e1d016ab,F,1994,1,FRANCAISE,3e1ebdf3342159f09511b2b07c066f7d9eac0725c9a869d54967d61e856dbff9,Hôtesse d'Accueil,5 ans d'expériences dans différents secteurs d'activités Restauration Hôtellerie Evenementiel Vente Caisse j'ai un bon relationnel je suis polyvalente je m'adapte facilement et également trilingue,3,M1601,15481,,,1800.0,M,2020-01-13T12:08:08.000Z,,6,Employé qualifié,5,AN,,1,H,2021-04-18T06:25:38.516Z,Bonne présentation souriante,,,,,,,,,,,,,,,Curiosité,,,Accueillir une clientèle,,,,,,,,,,,1,6
cfb98989e90aa7cff72c00a1992840c213c46822abe12e13dd42f3355fa5e602,F,1975,1,FRANCAISE,6c374a0d058e0117447d2e1724a08411edd3306d386ae5f322e21ae5025c87ea,Contrôleur de Gestion,Profil hybride administration projet finance 17 ans d'expérience dans le secteur de la logistique 1 an 1 2 dans celui de l'énergie 4 ans au sein d'un département Finance avec comme dernier fonction manager Achats Je souhaiterai poursuivre dans les métiers de la finance en tant de Contrôleur de Gestion comptable,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
8a49a391a00d81ffd48c7016bbece477fb0093122d39967e97ff030c8b124ffb,M,1973,1,FRANCAISE,42668b33f835ae00017a07f1e2b88a1e8283569478f37d9a5a7dfbaef6e0b268,Agent Agente de sécurité,Mon expérience dans ce métier m'a permis d'acquérir toutes les connaissances nécessaire à la bonne exécution des tâches requises pour ce poste Régulièrement confronté aux aléas de ce métier je suis capable de répondre aux imprévus en toute autonomie,3,K2503,10599,,,,,2018-02-26T23:00:00.000Z,,,,11,AN,,,,2021-08-02T12:18:19.069Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
7e0cdd5579fe272cb974e5888ab96a69063ea491a430269e36efa069719626c6,M,1993,1,FRANCAISE,dd5296621a43f6606c975bad457775ade4c6d2a6e41a91f32b235f66f8d62d12,Agent de fabrication,Motivé autonome et esprit d'équipe,3,H3302,10453,,,,,2018-04-04T08:42:26.000Z,,,,,,,,,2021-10-19T15:21:10.278Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
6397dec3b7deb343801590e217d943c92bc3aa3af5e51752e63b893796938d84,F,1995,1,FRANCAISE,1c347e741f53297eb27cbd144520e2fcf1cdac6586ec6cc941aeada3659694bc,SERVEUSE POLYVALENTE,Expérience et stage confirmés par les diplômes et les employeurs Sérieuse dynamique appliquée et rigoureuse Bilingue en anglais et connaissances en espagnol Maîtrise de logiciels tels que Euresto Unicamp Sirocco,3,G1803,12274,,,,,2017-10-14T04:00:11.000Z,,6,Employé qualifié,4,AN,,,,2021-07-27T08:32:40.571Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
3988efa08785b42b5df810f88bb1d018a99e32eb3e6f946d8ca0e4efad6131c2,M,1970,14,ITALIENNE,a9f49d643294fcca69ce5041114724a8fb13970fce3a7d73f3105ffac6956948,Magasinier cariste 15ans,15ans d expérience magasinier cariste,3,N1103,16277,,,2100.0,M,2021-10-06T12:34:33.000Z,,6,Employé qualifié,17,AN,,45,MN,2021-10-08T03:00:07.402Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6
2262a67fc5d08c451d9d672928cc84694dece33cd85d142b3a281abe65a324c2,M,1989,1,FRANCAISE,d90e8afa538a9ff0a8e9eed1bf0159c44da10995089ac0b8edc23292c5b90234,Mecanicien Bateaux de plaisance,Mecanicien Bateaux de plaisance,5,I1605,16460,,,1650.0,M,2021-09-29T16:51:55.000Z,,6,Employé qualifié,4,AN,,0,KM,2021-09-29T16:51:55.994Z,Manutention CACES Cat 3,,,,,,,,,,Moteurs hors-bord,,,,,,,,Effectuer une navigation nécessitant un permis côtier,,,,,,,,,,,1,6
22d14acd5fccb06163b25e5686649cfdc0a21d7dce074d8507fd512c09d4cc05,F,1994,1,FRANCAISE,c76991af164c78fbba04f0017c36561461ac2c92b26c9455515574b6f6d5a9ef,Standardiste assistante technique et administrative dans le dommaine de la grande cuisine,Employé polyvalente je suis toujours motivé pour en apprendre d'avantage Compétences confirmées Réalisation de dossiers techniques de chantier DOE DAF PPSPS en liaison avec le chargé d affaire les fournisseurs ainsi que des clients Gestion du standard téléphonique et de la boîte mail général Soutien aux différents services de la société Maintenance facturation etc,3,F1202,38738,,,1800.0,M,2021-11-01T12:08:37.000Z,,6,Employé qualifié,2,AN,,1,H,2021-11-01T12:08:38.387Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
5e41b06597615a5d3113878051c1f8d47d2a7e53263f94e55836fa270280f08b,M,1968,1,FRANCAISE,bd78c1f77bf1024258dd7f7c2d4df433f391c098fc0f53b8fd8b4ddbee13bb27,opérateur de production agro alimentaire et industrie,20 années d expérience en intérim grande facilité d adaptation d'apprentissage polyvalent et autonome sérieux,3,H2102,17155,0,0,1900.0,M,2021-05-18T05:48:42.884Z,,6,Employé qualifié,5,AN,MO,30,KM,2021-05-18T05:48:42.891Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
d64a9265319695e44b438721364e0d8ec8b8ab38f9a7ae29240073b83fcabb28,M,1976,1,FRANCAISE,be98dc5c1c6cfb3f4a2c4b4252c9329c73b507daa231580ebb973cca5739d6b9,Maçon coffreur,J'ai 15 ans d'expérience dans ce domaine,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
20d9c8bad0bd4dbff5766d392be22ab02ce937ed92f24d75069c9302576946ed,M,2000,1,FRANCAISE,6cbe05f6252e79c01845c8d0d040cf8f215cf62c7d70b7b943ba52d2514d3ab1,vendeur,1 an d'expérience dans la vente de bricolage on m'a formé à l'accueil du client l'analyse du besoin du client la fidélisation du client et l'aide à la clientèle Obtention de la formation d'employé polyvalent niveau 3A ce qui ma permis d'acquérir les compétences nécessaires Très bonne maitrise des outils de bureautiques,3,D1212,20587,,,,M,,,6,Employé qualifié,1,AN,,,,2021-10-12T00:42:05.281Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
c0f7d15bdd53533fd588fcf3f8056edf9f4f1ea55077024c1593441415774b01,F,1991,1,FRANCAISE,830b030366fa932aad458e241fa56b0ff8f215f0803cc3c94160f459e8fa576c,Gestionnaire de paie,Expérience au sein d'un cabinet comptable avec le logiciel SILAE Organisée rigoureuse je m'adapte très facilement et j'aime le travail en équipe,3,M1203,15368,0,0,2000.0,H,2021-04-09T14:18:55.000Z,,5,Employé non qualifié,6,MO,MO,30,KM,2021-04-09T14:20:44.472Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
cf8c66adeb4105f238557dbaa9fe39e2c9e2e5059dd0352567f4bccae8d45f89,M,1992,1,FRANCAISE,cfabcc3c127348fd17a16171256cc975b2e3649d8acca8c9836cdd602fe0a308,Aide-pépiniériste,Expérience en agriculture greffe et taille des fruitiers Fortes notions en Robotisation des Pépinières Bac Pro Électrotechnique,3,A1401,10886,0,0,10.25,H,2021-03-15T10:25:38.000Z,,1,Manuvre,,,MO,15,MN,2021-10-28T08:06:01.252Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
78f9d0960dbc6baefcc5d2cc261fe35a26e0db13abf48e1c2fe6f3f4071b1d65,M,1973,1,FRANCAISE,0dc918398f274cb691a1cc30f547d986b9ff4b0e5501e2f199c1217b99e1f18f,photographe de presse,25 ans d expérience spécialiste dans le domaine sportif et particulièrement le football,3,E1201,17710,0,0,10.25,H,2021-10-05T08:37:56.000Z,,6,Employé qualifié,25,AN,MO,30,KM,2021-10-05T08:38:31.806Z,Traiter numériquement des photographies,sélectioner un matériel photographique,,,,,,,,,,,,,,,,,Développer des films et des photographies selon un procédé traditionnel,,,,,,,,,,,1,6
d29d06793a83dcdd299f885681d269915465453af5339634931b08127454e6c1,M,1981,1,FRANCAISE,68ad03829f79e3b099a53567bcd605c1daede4f2525405a7c7153b0d1ae5b216,Directeur artistique,Dynamique avec de plusieurs années d'expérience en agence et chez les annonceurs,3,E1104,14188,,,,,2018-04-26T08:33:12.000Z,,,,6,AN,,,,2021-05-23T05:12:22.841Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
35ce2b00f7d62abf0067c0285f0baebb8d7abf3f3e513853b235aa2928da9108,F,1997,1,FRANCAISE,a5a12115c63e9532508066d51bb88e3cc27348fe039aaab02ea364e46334b2ab,Dynamique et motivée,1 an et demi d'expérience dans le secteur du service a la personne EHPAD Très bonne maîtrise des différents équipements lit médicalisée et leve malade Expérience en tant qu'ASH entretien des locaux des chambres des résidents et de la réception du linge,3,J1301,10698,,,1700.0,M,2021-01-10T10:55:43.000Z,,5,Employé non qualifié,2,AN,,30,MN,2021-01-23T03:12:31.751Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
aa433e0c054e6c73726e48ac117763d17c4fe5b57b5f7c4461711e7127a297f8,F,1994,1,FRANCAISE,bdaa2ad94f7ee6b946c748e7587af6955e0392caa3b5c5dc06bf80478dfd543f,Ingenieur chimie analytique,Titulaire d'un Master 2 et apres 18 mois d'experience en tant que technicienne de laboratoire controle qualite physico-chimique je suis a la recherche d'un poste d'assistante chef de projet ou assistante responsable controle qualite afin d'evoluer dans ma carriere et d'acquerir de l'experience en tant que cadre,3,H1502,15619,,,3000.0,M,2021-04-01T01:57:20.279Z,,9,Cadre,12,MO,,30,KM,2021-04-01T01:57:20.285Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9
cdb644e0b1cc092c4ac99d288ece0eea7aa9f84bb7f4557033821385cf9ae098,F,1978,1,FRANCAISE,3990bbfcb319adb4b9696202ab1704cc5cec326f031b6d94cf5e7c9225e9d664,Agent d' entretien des locaux,12 ans expériences usines parkings particuliers hôtel piscine municipal locaux administratif,3,K2204,10688,,,11.0,H,2020-08-22T18:58:33.000Z,,5,Employé non qualifié,12,AN,,15,MN,2021-01-05T01:36:45.296Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
cfc559c37b9dee95df970e14ebdbcd8346048c4df61f1ddeb5b953b13cd12f63,F,1999,1,FRANCAISE,98c7abfae381acd811847af2a8227c2607c5d026e00cc37c8b8bd5a91a3a7745,Accompagnement d'enfants en situation de handicap,Actuellement accompagnante d'élèves en situation de handicap après mon bac Économique et Social mes 2 années de licences et mon cap accompagnant éducatif petite enfance je suis à la recherche d'un travail dans le monde de la petite enfance Mes stages et mes années de travails auprès d'enfants m'ont permis d'acquérir le l'experience et de multiples compétences,3,G1203,11006,0,0,10.15,M,,,5,Employé non qualifié,4,MO,MO,30,KM,2021-10-13T12:45:55.256Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5
ffae72e0c7fe1a5ab0971ec187ec0b3c453c4e60cd953257163e1ee8de02614a,M,1954,1,FRANCAISE,362f42fdaef71588db4e400a1286aeb26189db9015c1e6a37e8707bafc9b5f27,Ouvrier fondeur,Fort de treize années d'expériences je suis autonome et très motivé Je suis titulaire des permis cariste 2 3 et 5,5,H2907,17501,,,,,2017-06-05T22:00:00.000Z,,,,13,AN,,,,2021-06-17T04:33:59.307Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
22e84ed532a4e6bdf9f12d203c494a09388ebcde251a69e1143145602664fe79,F,2000,1,FRANCAISE,c11647d69d298b583da29531a35430c56894f5ba07a9794f11c282314619f241,Hôtesse de caisse,Quelques mois d expériences motivée,3,D1505,15487,,,,M,,,6,Employé qualifié,3,MO,,20,KM,2021-10-28T12:56:01.129Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
