id_competence,lbl_competence,type_competence
100421,"Identifier avec le client le type d'intervention (ferrage traditionnel, orthopédique, ...) et en définir les modalités (coût, date de rendez-vous, ...)",SavoirFaire
100422,"Repérer les affections du pied de l'animal (boiterie, douleur, abcès, ...) et procéder à son immobilisation pour l'intervention",SavoirFaire
100424,"Sélectionner le fer en fonction de la mobilité, de l'effort et de la morphologie de l'animal et le former d'après l'empreinte",SavoirFaire
100426,"Informer et conseiller sur le type de ferrure, les produits de soin, le besoin de consultation vétérinaire (prescription de médicaments, ...)",SavoirFaire
100427,Utilisation de matériel de forge,Savoir
100428,"Utilisation d'outils manuels (râpe, rogne, pied, brochoir, boutoir, triçoire, repoussoir, ...)",Savoir
100429,Anatomie animale,Savoir
100430,Techniques de parage de sabot,Savoir
100431,"Techniques de ferrage (à froid, à chaud)",Savoir
100433,Réaliser et/ou poser une ferrure orthopédique,SavoirFaire
100434,Réaliser et/ou poser une ferrure pathologique,SavoirFaire
100435,Réaliser et/ou poser une ferrure thérapeutique,SavoirFaire
100437,Procédés de formage,Savoir
100445,"Identifier la demande (toilettage saisonnier, traitement antiparasitaire, ...) du propriétaire de l'animal et planifier l'intervention",SavoirFaire
100446,"Vérifier l'aspect de l'animal et orienter si nécessaire le propriétaire vers un vétérinaire, un éducateur canin, ...",SavoirFaire
100447,"Sélectionner le matériel et les produits et préparer l'animal au toilettage par désinfection, douche, ...",SavoirFaire
100448,Procéder aux soins de toilettage des animaux,SavoirFaire
100449,Conseiller le client sur les articles destinés aux animaux et procéder à la vente,SavoirFaire
100450,Renseigner le dossier de suivi de l'animal et proposer des soins ultérieurs,SavoirFaire
100452,Utilisation de matériel de toilettage,Savoir
100453,Procédés de stérilisation,Savoir
100454,Procédures de prévention des risques sanitaires,Savoir
100455,Procédures d'accueil des animaux,Savoir
100456,"Identifier la demande de l'interlocuteur (propriétaire de l'animal, éleveur, soigneur, ...) et déterminer les modalités d'intervention (soin sur place, transfert, ...)",SavoirFaire
100457,"Recueillir les informations sur l'animal (troubles, comportement, antécédents, traitements en cours, ...) auprès de son accompagnant ou dans le dossier médical",SavoirFaire
100458,"Procéder à l'examen clinique de l'animal et déterminer les besoins thérapeutiques (médication, intervention chirurgicale, ...)",SavoirFaire
100459,"Informer le responsable de l'animal sur la prise en charge thérapeutique (traitement, risques, coût, durée, ...) ou l'orienter vers un service spécialisé (centre hospitalier vétérinaire, ...)",SavoirFaire
100460,"Réaliser les soins sur l'animal ou procéder à des examens complémentaires (radiographie, prélèvements biologiques, ...)",SavoirFaire
100461,Réaliser l'intervention chirurgicale de l'animal et effectuer la surveillance post-opératoire,SavoirFaire
100462,"Conseiller sur l'alimentation, les soins, la médication de l'animal ou procéder à la vente de médicaments, d'apports nutritionnels",SavoirFaire
100465,Utilisation de matériel de radiologie,Savoir
100466,Utilisation d'analyseur biologique,Savoir
100468,Psychologie animale,Savoir
100469,Diététique animale,Savoir
100470,Code de santé publique,Savoir
100471,Chirurgie vétérinaire,Savoir
100472,Intervenir auprès d'animaux de compétition,SavoirFaire
100473,"Intervenir auprès d'animaux de rente (bovins, ovins, ...)",SavoirFaire
100474,Intervenir auprès d'animaux sauvages,SavoirFaire
100475,"Effectuer des analyses biologiques (parasitologie, bactériologie, virologie, ...)",SavoirFaire
100482,Ostéopathie équine,Savoir
100483,Kinésithérapie animale,Savoir
100486,"Déterminer les contraintes techniques de l'oeuvre liées aux caractéristiques des matériaux, aux conditions d'exposition, aux normes de sécurité",SavoirFaire
100492,Harmonisation des couleurs,Savoir
100493,Perception des volumes,Savoir
100495,Culture artistique,Savoir
100501,Créer des oeuvres,SavoirFaire
100506,Utilisation d'outils à bois manuels,Savoir
100507,"Utilisation d'outillages électroportatifs (scie électrique, ponceuse, ...)",Savoir
100508,Utilisation d'aérographe,Savoir
100512,Techniques de l'aquarelle,Savoir
100514,Dessin de détail,Savoir
100517,Techniques de moulage,Savoir
100518,Techniques de montage vidéo,Savoir
100519,Réaliser des oeuvres en bois et dérivés,SavoirFaire
100520,Réaliser des oeuvres en matériaux céramiques,SavoirFaire
100521,"Réaliser des oeuvres en matériaux de synthèse (pierre reconstituée, plâtre)",SavoirFaire
100522,Réaliser des oeuvres en métal,SavoirFaire
100523,Réaliser des oeuvres en papier,SavoirFaire
100524,Réaliser des oeuvres en pierre,SavoirFaire
100525,Réaliser des oeuvres en polystyrène,SavoirFaire
100526,Réaliser des oeuvres en verre,SavoirFaire
100538,Techniques du trompe-l'oeil,Savoir
100541,Techniques de communication,Savoir
100542,Scénographie,Savoir
100550,Réaliser des papiers cadeaux,SavoirFaire
100551,"Utilisation d'outils manuels (ébauchoir, estèque, mirette, ...)",Savoir
100554,Caractéristiques des matériaux composites,Savoir
100558,Façonner des pièces d'art,SavoirFaire
100560,Façonner des articles d'art de la table,SavoirFaire
100565,Caractéristiques du grès,Savoir
100566,Techniques du raku,Savoir
100576,Utilisation de tour,Savoir
100579,Décorer des ouvrages par engobe,SavoirFaire
100585,"Décorer des ouvrages par effets de surface ou de matière (lustre, cristallisation)",SavoirFaire
100586,"Décorer des ouvrages par procédés d'impression répétitifs (sérigraphie, pochoir, tampon)",SavoirFaire
100588,"Application par vaporisation, arrosage",Savoir
100590,Application de produits par poudrage,Savoir
100594,Dessin industriel,Savoir
100596,Techniques de maçonnerie,Savoir
100597,Principes de conservation préventive,Savoir
100598,Techniques de restauration de document,Savoir
100601,Repérer les tendances et les ambiances de décoration,SavoirFaire
100610,Techniques de dessin,Savoir
100614,Concevoir l'aménagement de boutiques,SavoirFaire
100615,Concevoir l'aménagement de salons et d'expositions commerciales,SavoirFaire
100616,Concevoir l'aménagement de manifestations évènementielles,SavoirFaire
100617,Concevoir l'aménagement de musée et d'expositions culturelles,SavoirFaire
100618,"Concevoir l'aménagement de hall, guichet, accueil",SavoirFaire
100619,Muséographie,Savoir
100628,Mode et styles vestimentaires,Savoir
100633,Graphisme,Savoir
100634,Techniques de peinture,Savoir
100643,Tracé de croquis,Savoir
100644,Abrasion manuelle,Savoir
100645,Peinture par filets,Savoir
100646,"Procédures de séchage (température, durée, ...)",Savoir
100647,Procédés de masquage,Savoir
100658,Appliquer une couche de métal par l'argenture,SavoirFaire
100659,Appliquer une couche de métal par la dorure,SavoirFaire
100660,Appliquer une couche de métal par cuivrage,SavoirFaire
100661,Appliquer une couche de métal par nickelage,SavoirFaire
100662,Utilisation de pistolet de projection,Savoir
100663,Préparation de bains de traitement,Savoir
100664,Propriétés des métaux précieux,Savoir
100665,Propriétés des métaux,Savoir
100666,Techniques d'électrolyse,Savoir
100672,Techniques de titrage,Savoir
100673,Utilisation de fer à dorer,Savoir
100674,Utilisation de fleuron et empreinte,Savoir
100677,Restaurer des ouvrages graphiques,SavoirFaire
100678,Restaurer des sculptures,SavoirFaire
100679,Restaurer des tableaux,SavoirFaire
100680,Restaurer des cadres,SavoirFaire
100681,Histoire des arts décoratifs,Savoir
100682,Techniques d'entoilage,Savoir
100684,Reporter ou reproduire un décor en petite série selon des techniques de papier à la cuve,SavoirFaire
100685,Utilisation de pigments naturels,Savoir
100686,Techniques de teinture chimique,Savoir
100693,Techniques de pantographie,Savoir
100703,Utilisation de matériel de pulvérisation (jet de sable),Savoir
100711,Réaliser des ciselures en repoussé indirect (resingle),SavoirFaire
100712,Réaliser des ciselures en tracé-mati,SavoirFaire
100713,Réaliser des ciselures à la molette,SavoirFaire
100714,Réaliser des gravures ou des ciselures sur linoléum,SavoirFaire
100715,"Réaliser des gravures ou des ciselures sur plastiques, composites",SavoirFaire
100720,"Réaliser des gravures ou des ciselures sur verre, cristal",SavoirFaire
100723,Réaliser des ornementations ou des décorations spécifiques avec l'émaillage,SavoirFaire
100725,Utilisation de fraise mécanique,Savoir
100726,Techniques de lithographie,Savoir
100727,Xylographie,Savoir
100731,"Terminer l'ouvrage par rabattage des tiges d'osier, le serrage des lignes torsadées, insérer les éléments de renforts et effectuer les opérations de ponçage, vernis",SavoirFaire
100733,Caractéristiques des fibres végétales,Savoir
100734,Caractéristiques des brins végétaux,Savoir
100735,"Caractéristiques des lianes végétales (rotin, clématite...)",Savoir
100737,Techniques de cintrage,Savoir
100738,Techniques de tressage,Savoir
100739,Techniques de nouage,Savoir
100740,Procédés de tissage,Savoir
100741,Techniques de piqûre machine,Savoir
100742,Techniques de cannage,Savoir
100743,Techniques de formage à chaud,Savoir
100744,Techniques de formage à froid,Savoir
100746,Techniques de pliage,Savoir
100748,Réaliser des objets décoratifs et objets d'art,SavoirFaire
100749,Réaliser des objets de jardins,SavoirFaire
100753,Couture manuelle,Savoir
100760,Réaliser des opérations d'architecture végétale décorative ou utilitaire (tressage de l'osier),SavoirFaire
100761,Utilisation de scie stationnaire,Savoir
100762,Utilisation de chantourneuse,Savoir
100763,Utilisation de toupie,Savoir
100765,Mise en bain de cuve,Savoir
100772,Utilisation de massicot,Savoir
100773,Techniques de rognage,Savoir
100775,Utilisation de presse hydraulique,Savoir
100776,Histoire du livre,Savoir
100777,Techniques de démontage/remontage de livres,Savoir
100778,Techniques de couture de documents papier,Savoir
100784,Réaliser des dorures et des décorations en titrage,SavoirFaire
100788,Réaliser des dorures et des décorations en papier reliure,SavoirFaire
100789,Sertissage d'élément de décor,Savoir
100790,Techniques de dorure au film,Savoir
100791,Techniques de dorure au balancier,Savoir
100799,Histoire de la musique,Savoir
100800,Techniques de collage,Savoir
100809,Réparer des instruments électroacoustiques,SavoirFaire
100812,"Réparer des percussions (batterie, cymbales, ...)",SavoirFaire
100814,Montage de cordes,Savoir
100816,Tension de cordes,Savoir
100817,Techniques d'alésage,Savoir
100818,Fraisage sur métal,Savoir
100819,Techniques de polissage,Savoir
100820,Caractéristiques des cuirs et peaux,Savoir
100822,Techniques d'usinage,Savoir
100825,Techniques de fonderie,Savoir
100827,Électroacoustique,Savoir
100835,Vernissage au tampon,Savoir
100836,"Réaliser des décors de ciselure, travail en percée",SavoirFaire
100837,Réaliser des décors de filet,SavoirFaire
100838,"Réaliser des décors d'incrustation d'éléments (nacre, ivoire, ...)",SavoirFaire
100839,Réaliser des décors de peinture,SavoirFaire
100840,Réaliser des décors de sculpture,SavoirFaire
100842,Organologie,Savoir
100854,Techniques de traçage,Savoir
100856,Réaliser des éléments de mobilier,SavoirFaire
100857,"Réaliser des éléments de serrurerie, quincaillerie d'art",SavoirFaire
100858,"Réaliser des escaliers, rambardes, mezzanines, pergola, vitrines",SavoirFaire
100859,Réaliser des grilles ornementales,SavoirFaire
100861,Réaliser des luminaires,SavoirFaire
100862,Réaliser des objets décoratifs,SavoirFaire
100864,Réaliser des statuaires monumentales,SavoirFaire
100865,Utilisation de machines à façonner les clés,Savoir
100871,Réaliser des ouvrages en métaux précieux,SavoirFaire
100888,Réaliser des cliquetages,SavoirFaire
100890,"Réaliser des gravures, guillochages",SavoirFaire
100897,Appliquer une couche de métal par bronzage,SavoirFaire
100898,"Vérifier la faisabilité de la commande (dimensions de la pièce en verre, aspect esthétique, ...), définir et arrêter avec le client les conditions de réalisation (délais, coût, ...)",SavoirFaire
100901,"Souffler le verre pour le mettre en forme (soufflage, étirement, torsion, ...) et veiller au maintien de sa température (arche de recuisson, fours de réchauffe, ...)",SavoirFaire
100904,Lecture de dessins techniques,Savoir
100905,Caractéristiques et propriétés du verre,Savoir
100906,Ergonomie,Savoir
100907,Techniques de transformation du verre à froid,Savoir
100908,Techniques de transformation du verre à chaud,Savoir
100921,Techniques de marbrage,Savoir
100922,Techniques de maillochage,Savoir
100924,Usiner ou assembler le verre selon des opérations de biseautage,SavoirFaire
100925,Usiner ou assembler le verre selon des opérations de coupe,SavoirFaire
100926,Usiner ou assembler le verre selon des opérations de perçage,SavoirFaire
100927,Usiner ou assembler le verre selon des opérations de sciage,SavoirFaire
100928,Usiner ou assembler le verre selon des opérations de soudure verre,SavoirFaire
100929,Usiner ou assembler le verre selon des opérations de collage à chaud,SavoirFaire
100930,Compassage de verre,Savoir
100931,Bouchardage de verre,Savoir
100950,Caractéristiques des oxydes,Savoir
100955,"Tracer, couper des plaques et panneaux de verre",SavoirFaire
100957,Assembler des plaques et panneaux de verre,SavoirFaire
100958,Techniques de sertissage,Savoir
100959,Techniques de référencement du vitrail,Savoir
100960,Électricité haute tension,Savoir
100961,Procédés d'étanchéité,Savoir
100962,Histoire de l'art du verre,Savoir
100964,"Détecter les défauts, nuances, alliage des matériaux et déterminer les contraintes de la pièce",SavoirFaire
100971,Utilisation d'une binoculaire,Savoir
100972,Caractéristiques des alliages de métaux précieux,Savoir
100973,Calcul de titrage et d'alliage,Savoir
100974,Gemmologie,Savoir
100983,"Caractéristiques de matières d'origine végétale (ambre, jais)",Savoir
100984,Types de maille en bijouterie,Savoir
101000,Perçage de perles,Savoir
101005,Utilisation de machines à dorer/à brunir,Savoir
101006,Utilisation de polisseuse mécanique,Savoir
101012,Glyptique,Savoir
101017,Tailler des diamants,SavoirFaire
101018,Tailler des pierres fines et ornementales,SavoirFaire
101019,"Tailler des rubis, saphirs, émeraudes",SavoirFaire
101020,Techniques de taille de diamant,Savoir
101021,Techniques de taille de pierre précieuse,Savoir
101024,"Remplacer les pièces défectueuses par échange standard (mouvement quartz, aiguilles, cadrans, ...) et assembler les éléments",SavoirFaire
101028,Techniques d'ajustage,Savoir
101029,"Utilisation d'appareils de contrôle (vibrographe, contrôleur électronique, ...)",Savoir
101031,Micromécanique,Savoir
101032,Méthodes de classement et de montage de pièces micromécaniques,Savoir
101035,Mouvements horlogers mécaniques,Savoir
101036,Mouvements horlogers électroniques,Savoir
101037,Intervenir sur des chronomètres,SavoirFaire
101038,Intervenir sur des horloges,SavoirFaire
101039,"Intervenir sur des systèmes d'horlogerie technique (dispositifs de commandes horaires, systèmes de sécurité électromécaniques, ...)",SavoirFaire
101040,"Intervenir sur des montres (pile, bracelet, ...), chronomètres, réveils",SavoirFaire
101041,Intervenir sur des pendules,SavoirFaire
101042,Intervenir sur des réveils,SavoirFaire
101045,Réaliser des opérations de micromécanique sur des pièces d'horlogerie par usinage,SavoirFaire
101046,"Réaliser des opérations de micromécanique sur des pièces d'horlogerie par ébarbage, polissage, ponçage",SavoirFaire
101047,Réaliser des opérations de micromécanique sur des pièces d'horlogerie par chassage,SavoirFaire
101049,Caractéristiques des alliages de métaux,Savoir
101055,Histoire de l'horlogerie,Savoir
101061,"Habiller le mannequin (positionnement et tension de la peau, couture, ...)",SavoirFaire
101064,Zoologie,Savoir
101065,Chimie,Savoir
101066,Techniques de tannage,Savoir
101067,Techniques de picklage,Savoir
101072,Postures animales,Savoir
101073,Procédures de décontamination,Savoir
101085,Techniques de taxidermie souple,Savoir
101086,Anatomie humaine,Savoir
101090,"Définir avec le client les caractéristiques de l'article à réaliser selon ses souhaits, ses besoins et l'informer sur les conditions de réalisation",SavoirFaire
101095,Prise de mesures,Savoir
101097,Techniques de gradation,Savoir
101098,"Techniques de coupe de textile, cuir",Savoir
101100,Procédures d'essayage,Savoir
101101,Techniques d'élaboration de maquette,Savoir
101102,Concevoir des modèles pour une cérémonie,SavoirFaire
101103,Concevoir des modèles pour une collection hiver/été enfant,SavoirFaire
101104,Concevoir des modèles pour une collection hiver/été femme,SavoirFaire
101105,Concevoir des modèles pour une collection hiver/été homme,SavoirFaire
101106,Concevoir des modèles pour un spectacle,SavoirFaire
101107,Techniques de patronnage,Savoir
101108,Histoire de la mode et des costumes,Savoir
101114,Réaliser un chapeau de spectacle,SavoirFaire
101115,Utilisation de marotte,Savoir
101117,Utilisation de conformateur,Savoir
101119,Caractéristiques des tissus et matières textiles,Savoir
101120,Techniques de teinture végétale,Savoir
101121,Techniques de plumasserie,Savoir
101122,Techniques de broderie,Savoir
101123,Techniques de plissage,Savoir
101125,"Sélectionner les matériaux, produits et accessoires de l'article",SavoirFaire
101126,"Réaliser les opérations de coupe de matériaux (positionnement de gabarit, ...) manuellement ou à l'aide d'une machine",SavoirFaire
101127,"Assembler (collage, couture) les pièces de l'article (tige, soufflet) manuellement ou à l'aide d'une machine",SavoirFaire
101128,"Réaliser les opérations de finition sur les pièces et articles montés (coupe de fil, teinte de tranche, nourriture du cuir, ...)",SavoirFaire
101129,"Vérifier la conformité des pièces/articles façonnés (aspect de teinte, régularité des coutures, ...) et procéder aux actions correctives",SavoirFaire
101130,"Lecture de dessins, croquis",Savoir
101133,Caractéristiques des matériaux souples,Savoir
101134,Techniques de prise de mesures (habillement),Savoir
101135,Techniques d'assemblage « rembordé »,Savoir
101136,Techniques d'assemblage « sellier »,Savoir
101139,"Façonner de la petite maroquinerie (portefeuilles, ceintures, ...)",SavoirFaire
101143,"Façonner des bâches, tentes, stores",SavoirFaire
101146,Façonner des gants,SavoirFaire
101147,Utilisation de machines à bois,Savoir
101148,Utilisation de machine à triple entraînement,Savoir
101149,Utilisation de machine à coudre le cuir,Savoir
101150,Types de morphologie,Savoir
101152,Réaliser des opérations de parage,SavoirFaire
101154,"Réaliser des opérations de rembordage, rempliage",SavoirFaire
101159,Techniques de garnissage,Savoir
101160,Techniques de gainage,Savoir
101161,Techniques de dorure,Savoir
101162,Techniques de broderie main,Savoir
101163,Prendre les mensurations du client et les consigner (fiche client),SavoirFaire
101166,"Ajuster les pièces du vêtement (manches, col) par essayage",SavoirFaire
101170,Calcul de métrage,Savoir
101171,Utilisation de machine à coudre,Savoir
101173,Caractéristiques des fils,Savoir
101174,Géométrie,Savoir
101175,Techniques de repassage,Savoir
101177,Techniques d'assemblage/montage en habillement/confection,Savoir
101178,"Réaliser des robes de soirée, de cérémonie, à l'unité ou en petite série",SavoirFaire
101180,"Réaliser des pantalons, gilets à l'unité ou en petite série",SavoirFaire
101181,Réaliser des articles de lingerie/balnéaire/corseterie à l'unité ou en petite série,SavoirFaire
101182,Réaliser des vêtements haute couture à l'unité ou en petite série,SavoirFaire
101183,Réaliser des vêtements professionnels à l'unité ou en petite série,SavoirFaire
101186,Couture flou,Savoir
101187,Caractéristiques morphologiques masculines,Savoir
101188,Caractéristiques morphologiques féminines,Savoir
101192,Réaliser des vêtements en cuirs et peaux,SavoirFaire
101193,Réaliser des vêtements en fourrures,SavoirFaire
101195,Caractéristiques des fourrures,Savoir
101196,Techniques d'assemblage des fourrures,Savoir
101197,"Techniques d'application des apprêts, des teintes",Savoir
101198,Techniques d'application de garniture,Savoir
101199,"Sélectionner les matériaux (tissus, fils, ornements, ...), coloris et outils appropriés à l'ouvrage",SavoirFaire
101202,"Terminer l'ouvrage du métier, réaliser les opérations de finition (tonte, apprêt, repassage) et d'emballage",SavoirFaire
101203,Utilisation de machine à broder,Savoir
101204,Lecture de codes et symboles,Savoir
101205,Techniques de tissage main,Savoir
101207,Couture,Savoir
101214,Techniques de la passementerie,Savoir
101216,Restaurer des tapisseries,SavoirFaire
101217,Restaurer des tapis,SavoirFaire
101218,"Restaurer des broderies, dentelles",SavoirFaire
101219,"Restaurer des costumes (de cérémonie, de théâtre, ...)",SavoirFaire
101220,Restaurer des vêtements haute-couture et prêt-à-porter de luxe,SavoirFaire
101221,"Restaurer des accessoires (éventail, étoles, ...)",SavoirFaire
101227,"Sélectionner les matières et fournitures (fil, tissu, fermoirs, ...) de la gamme de produits",SavoirFaire
101232,Propriétés des couleurs,Savoir
101238,Définir un style pour de la haute couture et prêt-à-porter de luxe,SavoirFaire
101246,Caractéristiques des textiles extensibles,Savoir
101247,Caractéristiques des textiles maille,Savoir
101248,Caractéristiques des textiles chaîne et trame,Savoir
101256,"Concevoir une gamme, une collection de matières premières, des motifs en fils, tissus",SavoirFaire
101257,"Concevoir une gamme, une collection de matières premières, des motifs en impression, sérigraphie",SavoirFaire
101258,"Concevoir une gamme, une collection de matières premières, des motifs en broderie",SavoirFaire
101259,"Concevoir une gamme, une collection de matières premières, des motifs en dentelle",SavoirFaire
